GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Possession, cannabis",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Possession, cannabis",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Assault, level 1",1679,405.95
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total sexual violations against children,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,Total theft of motor vehicle,336,77.83
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Possession, cannabis",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Sexual assault, level 2, weapon or bodily harm",3,0.71
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,Total sexual violations against children,120,27.8
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Homicide,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",39,9.79
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Possession, cannabis",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",115,27.06
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Possession, cocaine",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Total cocaine, trafficking, production or distribution",84,19.46
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,Total robbery,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Possession, cannabis",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Possession, cocaine",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,Total impaired driving,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,Total breaking and entering,1320,321.88
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Assault, level 3, aggravated",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Total cannabis, trafficking, production or distribution",140,32.43
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total breaking and entering,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,Total theft of motor vehicle,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Assault, level 1",1559,366.85
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,Total theft of motor vehicle,381,89.65
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Assault, level 2, weapon or bodily harm",422,101.23
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total impaired driving,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,Total sexual violations against children,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,Total impaired driving,932,215.88
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",76,18.53
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Total cocaine, trafficking, production or distribution",112,27.53
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Assault, level 3, aggravated",52,13.06
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total theft of motor vehicle,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Sexual assault, level 1",305,73.74
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total sexual violations against children,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Possession, cannabis",778,189.71
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,Total Drug violations,1338,323.5
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,Attempted murder,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total robbery,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Assault, level 2, weapon or bodily harm",723,179.65
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Sexual assault, level 1",301,73.4
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total Drug violations,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,Total impaired driving,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,Attempted murder,19,4.56
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,Total robbery,386,95.91
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Possession, cocaine",82,19.67
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,Total robbery,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,Total theft of motor vehicle,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Possession, cocaine",78,18.35
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,Attempted murder,21,5.27
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Assault, level 3, aggravated",26,6.39
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total breaking and entering,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,Total Drug violations,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Sexual assault, level 3, aggravated",2,0.47
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",89,21.35
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Possession, cannabis",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,Attempted murder,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,Total Drug violations,1,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Attempted murder,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",36,8.85
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Possession, cannabis",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total Drug violations,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Sexual assault, level 2, weapon or bodily harm",4,0.98
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total sexual violations against children,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,Total sexual violations against children,69,16.55
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total robbery,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Assault, level 1",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Assault, level 2, weapon or bodily harm",462,111.7
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,Total robbery,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Possession, cannabis",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,Total Drug violations,1402,344.65
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,Total breaking and entering,1913,475.35
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Sexual assault, level 1",404,93.58
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Attempted murder,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Sexual assault, level 3, aggravated",4,0.98
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,Total Drug violations,1374,345.01
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,Total robbery,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Assault, level 3, aggravated",34,8
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Sexual assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,Attempted murder,51,12.44
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Possession, cannabis",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Sexual assault, level 1",303,76.08
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Attempted murder,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total sexual violations against children,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,Attempted murder,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Total cocaine, trafficking, production or distribution",103,24.9
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Homicide,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Possession, cannabis",920,226.16
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Homicide,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,Total Drug violations,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total breaking and entering,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Attempted murder,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Assault, level 3, aggravated",25,6.1
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Attempted murder,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Assault, level 1",1563,374.95
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total robbery,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,Total robbery,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,Total impaired driving,985,238.15
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,Homicide,5,1.21
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Total cannabis, trafficking, production or distribution",115,27.06
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Assault, level 3, aggravated",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Possession, cannabis",675,161.93
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Assault, level 3, aggravated",45,10.8
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,Total theft of motor vehicle,0,0
